session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
1,14,rader,1009,0,10,195163
1,14,rader,1009,1,10,157408.9
1,14,rader,1009,2,10,142763.2
1,14,rader,1009,3,10,135218
1,14,rader,1009,4,10,209449.2
1,14,rader,1009,5,10,143485.2
1,14,rader,1009,6,10,132914.5
1,14,rader,1009,7,10,133980.1
1,14,rader,1009,8,10,128158.5
1,14,rader,1009,9,10,128123.4
1,14,rader,1009,10,10,169297.6
1,14,rader,1009,11,10,139766.7
1,14,rader,1009,12,10,133051.7
1,14,rader,1009,13,10,157795.5
1,14,rader,1009,14,10,127830
1,14,rader,1009,15,10,132810.4
1,14,rader,1009,16,10,133122.8
1,14,rader,1009,17,10,129638.7
1,14,rader,1009,18,10,131250
1,14,rader,1009,19,10,141617.5
1,14,rader,1009,20,10,149502.2
1,14,rader,1009,21,10,133773.8
1,14,rader,1009,22,10,127771.8
1,14,rader,1009,23,10,154330.4
1,14,rader,1009,24,10,144550.8
1,14,rader,1009,25,10,129099.9
1,14,rader,1009,26,10,129145.9
1,14,rader,1009,27,10,145494.2
1,14,rader,1009,28,10,130955.6
1,14,rader,1009,29,10,141899.9
1,14,rader,1009,30,10,134116.3
1,15,bluestein,1009,0,12,168520.416667
1,15,bluestein,1009,1,12,169405.083333
1,15,bluestein,1009,2,12,178360.916667
1,15,bluestein,1009,3,12,167945.416667
1,15,bluestein,1009,4,12,167367.833333
1,15,bluestein,1009,5,12,164269.916667
1,15,bluestein,1009,6,12,177962.833333
1,15,bluestein,1009,7,12,163810.083333
1,15,bluestein,1009,8,12,167283.583333
1,15,bluestein,1009,9,12,170800.5
1,15,bluestein,1009,10,12,171771.083333
1,15,bluestein,1009,11,12,163992.083333
1,15,bluestein,1009,12,12,167447.166667
1,15,bluestein,1009,13,12,165085.333333
1,15,bluestein,1009,14,12,173628
1,15,bluestein,1009,15,12,163905.25
1,15,bluestein,1009,16,12,171102.666667
1,15,bluestein,1009,17,12,164880.833333
1,15,bluestein,1009,18,12,175366.416667
1,15,bluestein,1009,19,12,164235.75
1,15,bluestein,1009,20,12,173260.833333
1,15,bluestein,1009,21,12,170835.583333
1,15,bluestein,1009,22,12,171380.5
1,15,bluestein,1009,23,12,164189
1,15,bluestein,1009,24,12,168930.25
1,15,bluestein,1009,25,12,163977.833333
1,15,bluestein,1009,26,12,166047.583333
1,15,bluestein,1009,27,12,174605.333333
1,15,bluestein,1009,28,12,169477.666667
1,15,bluestein,1009,29,12,166807.083333
1,15,bluestein,1009,30,12,165774.666667
1,33,auto,1009,0,15,131144.2
1,33,auto,1009,1,15,135935.066667
1,33,auto,1009,2,15,155037.733333
1,33,auto,1009,3,15,131789.133333
1,33,auto,1009,4,15,136780.266667
1,33,auto,1009,5,15,138722.133333
1,33,auto,1009,6,15,139136.066667
1,33,auto,1009,7,15,130447.8
1,33,auto,1009,8,15,147481.2
1,33,auto,1009,9,15,131341.2
1,33,auto,1009,10,15,140712.4
1,33,auto,1009,11,15,132123
1,33,auto,1009,12,15,133981.733333
1,33,auto,1009,13,15,132285.933333
1,33,auto,1009,14,15,148008.333333
1,33,auto,1009,15,15,128280.6
1,33,auto,1009,16,15,135550.133333
1,33,auto,1009,17,15,127702.4
1,33,auto,1009,18,15,144769.133333
1,33,auto,1009,19,15,127697.066667
1,33,auto,1009,20,15,134618.066667
1,33,auto,1009,21,15,135080.066667
1,33,auto,1009,22,15,137838.2
1,33,auto,1009,23,15,127599.6
1,33,auto,1009,24,15,139909.933333
1,33,auto,1009,25,15,127763.2
1,33,auto,1009,26,15,165903.866667
1,33,auto,1009,27,15,127709.8
1,33,auto,1009,28,15,142364.933333
1,33,auto,1009,29,15,146794.8
1,33,auto,1009,30,15,159637.266667
1,36,dft,1009,0,1,17230475
1,36,dft,1009,1,1,16539869
1,36,dft,1009,2,1,16462605
1,36,dft,1009,3,1,16511107
1,36,dft,1009,4,1,16650474
1,36,dft,1009,5,1,16464017
1,36,dft,1009,6,1,16339762
1,36,dft,1009,7,1,16332812
1,36,dft,1009,8,1,16443637
1,36,dft,1009,9,1,16339882
1,36,dft,1009,10,1,17320700
1,36,dft,1009,11,1,16604646
1,36,dft,1009,12,1,16762891
1,36,dft,1009,13,1,16456235
1,36,dft,1009,14,1,16456706
1,36,dft,1009,15,1,16333013
1,36,dft,1009,16,1,16389867
1,36,dft,1009,17,1,16416846
1,36,dft,1009,18,1,16526420
1,36,dft,1009,19,1,16357989
1,36,dft,1009,20,1,16334674
1,36,dft,1009,21,1,16315687
1,36,dft,1009,22,1,16279893
1,36,dft,1009,23,1,16645036
1,36,dft,1009,24,1,16343748
1,36,dft,1009,25,1,16314655
1,36,dft,1009,26,1,16325220
1,36,dft,1009,27,1,16388745
1,36,dft,1009,28,1,16618938
1,36,dft,1009,29,1,16747528
1,36,dft,1009,30,1,16688611
1,37,mixed-radix,1009,0,1,22982053
1,37,mixed-radix,1009,1,1,22192499
1,37,mixed-radix,1009,2,1,22143967
1,37,mixed-radix,1009,3,1,29870930
1,37,mixed-radix,1009,4,1,22795706
1,37,mixed-radix,1009,5,1,21274696
1,37,mixed-radix,1009,6,1,21258462
1,37,mixed-radix,1009,7,1,21271651
1,37,mixed-radix,1009,8,1,22032101
1,37,mixed-radix,1009,9,1,21660970
1,37,mixed-radix,1009,10,1,21802781
1,37,mixed-radix,1009,11,1,21081879
1,37,mixed-radix,1009,12,1,20851897
1,37,mixed-radix,1009,13,1,20854011
1,37,mixed-radix,1009,14,1,21148929
1,37,mixed-radix,1009,15,1,20894551
1,37,mixed-radix,1009,16,1,20955922
1,37,mixed-radix,1009,17,1,20838188
1,37,mixed-radix,1009,18,1,20893139
1,37,mixed-radix,1009,19,1,20892768
1,37,mixed-radix,1009,20,1,20826660
1,37,mixed-radix,1009,21,1,21465350
1,37,mixed-radix,1009,22,1,33182712
1,37,mixed-radix,1009,23,1,24847285
1,37,mixed-radix,1009,24,1,25714463
1,37,mixed-radix,1009,25,1,20857987
1,37,mixed-radix,1009,26,1,21806356
1,37,mixed-radix,1009,27,1,21144953
