algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
auto,64,random,4.68019767046e-16,5.12254128219e-16,6.05431955681e-16,4.49306530409e-16,5.12134174386e-16,6.80458846066e-16,8.77708367144e-16
mixed-radix,64,random,4.45335676885e-16,5.36699944831e-16,7.66319766728e-16,5.04175982965e-16,5.36252372979e-16,7.42703701916e-16,5.23691153334e-16
bluestein,64,random,1.30848488972e-15,1.30855787642e-15,1.14872378864e-15,1.26051692853e-15,1.30823893187e-15,1.75826711892e-15,2.31355667781e-15
radix2-iterative,64,random,4.68019767046e-16,5.12254128219e-16,6.05431955681e-16,4.49306530409e-16,5.12134174386e-16,6.80458846066e-16,8.77708367144e-16
radix2-recursive,64,random,4.68019767046e-16,5.12254128219e-16,6.05431955681e-16,4.49306530409e-16,5.12134174386e-16,6.80458846066e-16,8.77708367144e-16
stockham-radix2,64,random,2.41943512967e-16,2.75299080902e-16,3.92006294194e-16,2.39712056355e-16,2.74705740904e-16,4.26037619178e-16,2.00148302124e-16
radix4,64,random,1.74358952138e-16,1.7875958143e-16,1.84011366659e-16,1.66514696478e-16,1.79346700102e-16,2.98226943331e-16,1.57009245868e-16
split-radix,64,random,1.70173327301e-16,1.70528957503e-16,1.7071076089e-16,1.638294728e-16,1.70939779542e-16,2.19586591439e-16,1.24126707662e-16
dft,64,random,8.78460729846e-15,1.03885877448e-14,1.27934823143e-14,9.67983543115e-15,1.0388824306e-14,1.43152316107e-14,1.1526018689e-14
auto,64,tones,8.87058214346e-16,6.32796500348e-16,6.81594800405e-16,5.8193384647e-16,6.32820220364e-16,7.81147361507e-16,2.00532833319e-15
mixed-radix,64,tones,8.11090344614e-16,5.42158402253e-16,5.39142929475e-16,4.92196640871e-16,5.42168130929e-16,7.04720064387e-16,8.9001965491e-16
bluestein,64,tones,2.88719053675e-15,1.46467701178e-15,1.55236915812e-15,1.37798699116e-15,1.46520131389e-15,2.10080201958e-15,4.2581974168e-15
radix2-iterative,64,tones,8.87058214346e-16,6.32796500348e-16,6.81594800405e-16,5.8193384647e-16,6.32820220364e-16,7.81147361507e-16,2.00532833319e-15
radix2-recursive,64,tones,8.87058214346e-16,6.32796500348e-16,6.81594800405e-16,5.8193384647e-16,6.32820220364e-16,7.81147361507e-16,2.00532833319e-15
stockham-radix2,64,tones,4.58642306578e-16,2.79230404433e-16,2.46919198693e-16,2.70719938228e-16,2.78331384217e-16,3.22340876503e-16,4.96506830649e-16
radix4,64,tones,4.50963766431e-16,2.29465456598e-16,1.46180095321e-16,2.20168735792e-16,2.28730565023e-16,2.77570300092e-16,4.57756679852e-16
split-radix,64,tones,4.11231047278e-16,2.1596773245e-16,1.82408861037e-16,2.09559335637e-16,2.13988583517e-16,2.67786068053e-16,4.57756679852e-16
dft,64,tones,2.20063882382e-14,1.10064248508e-14,1.10147105815e-14,1.0529295604e-14,1.1005394098e-14,1.38101669077e-14,3.18641744719e-14
auto,64,impulse,6.50863946237e-16,7.50036912321e-16,1.34120636208e-15,2.2075551559e-15,7.49931888978e-16,6.34308486174e-16,9.48574968054e-16
mixed-radix,64,impulse,4.14913293357e-16,5.17910235333e-16,1.23019468213e-15,2.38868832863e-15,5.18825952661e-16,3.84875512348e-16,2.49800180541e-16
bluestein,64,impulse,1.1923368908e-15,1.39737198994e-15,3.31820508614e-15,5.44522813318e-15,1.39809775674e-15,1.06733702404e-15,2.00532833319e-15
radix2-iterative,64,impulse,6.50863946237e-16,7.50036912321e-16,1.34120636208e-15,2.2075551559e-15,7.49931888978e-16,6.34308486174e-16,9.48574968054e-16
radix2-recursive,64,impulse,6.50863946237e-16,7.50036912321e-16,1.34120636208e-15,2.2075551559e-15,7.49931888978e-16,6.34308486174e-16,9.48574968054e-16
stockham-radix2,64,impulse,1.97449382006e-16,2.40591843108e-16,4.81362117823e-16,9.1028976826e-16,2.41362175453e-16,1.83411267817e-16,1.11022302463e-16
radix4,64,impulse,1.32119044785e-16,1.56906884219e-16,3.19687319067e-16,4.50320498491e-16,1.57614649941e-16,1.05031442548e-16,6.97350206824e-17
split-radix,64,impulse,1.32119044785e-16,1.56906884219e-16,3.19687319067e-16,4.50320498491e-16,1.57614649941e-16,1.05031442548e-16,8.35553472161e-17
dft,64,impulse,3.38756746569e-15,4.75508642338e-15,1.28429032419e-14,3.40542822621e-14,4.75567711485e-15,1.28710995994e-15,3.26209802821e-15
auto,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
mixed-radix,64,alternating,7.68162808338e-16,1.51187604686e-16,6.28769301093e-17,1.16302803992e-16,1.51321133013e-16,3.68169481685e-16,3.67394039744e-16
bluestein,64,alternating,5.27408685066e-15,1.24618408797e-15,9.04238403847e-16,1.05177271359e-15,1.24653614087e-15,3.03559296255e-15,4.6764449811e-15
radix2-iterative,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
radix2-recursive,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
stockham-radix2,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
radix4,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
split-radix,64,alternating,2.02320835972e-17,3.83172236267e-18,1.64459015198e-18,2.31178261469e-18,3.32486856942e-18,9.78215361314e-18,0
