algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
dft,64,alternating,4.07341975863e-14,7.47702113642e-15,4.24786006608e-15,6.78197659454e-15,7.47761894306e-15,1.31445923339e-14,1.94226790052e-14
auto,64,dynamic-range,5.67582875324e-16,5.84182170656e-16,7.89890062479e-16,1.57614445082e-15,5.84566990431e-16,6.44103605018e-16,0.00047669980932
mixed-radix,64,dynamic-range,3.31701383142e-16,3.4159881483e-16,5.49198170321e-16,1.23039135212e-15,3.43857388577e-16,3.28602740123e-16,6.82393791962e-05
bluestein,64,dynamic-range,1.3088708408e-15,1.29447003513e-15,1.67389028674e-15,4.18001648397e-15,1.29529704088e-15,1.13097367699e-15,0.00106767917996
radix2-iterative,64,dynamic-range,5.67582875324e-16,5.84182170656e-16,7.89890062479e-16,1.57614445082e-15,5.84566990431e-16,6.44103605018e-16,0.00047669980932
radix2-recursive,64,dynamic-range,5.67582875324e-16,5.84182170656e-16,7.89890062479e-16,1.57614445082e-15,5.84566990431e-16,6.44103605018e-16,0.00047669980932
stockham-radix2,64,dynamic-range,1.64194278909e-16,1.69314326346e-16,3.15769855659e-16,7.41958523161e-16,1.70334479308e-16,8.31432222299e-17,8.63167457503e-05
radix4,64,dynamic-range,1.6274771921e-16,1.61524314463e-16,2.39405886502e-16,6.84888957031e-16,1.61841437136e-16,7.34151338256e-17,6.103515625e-05
split-radix,64,dynamic-range,1.49356132722e-16,1.50150426807e-16,2.39405886502e-16,6.52059707413e-16,1.5056668846e-16,5.7631274731e-17,8.63167457503e-05
dft,64,dynamic-range,8.26587434143e-15,1.02218406666e-14,2.32797563529e-14,4.73477030741e-14,1.0222077606e-14,4.32412274515e-15,0.00592041015625
