session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,4,dft,509,0,1,4269094
2,4,dft,509,1,1,4370134
2,4,dft,509,2,1,4265199
2,4,dft,509,3,1,4353469
2,4,dft,509,4,1,4666816
2,4,dft,509,5,1,4247412
2,4,dft,509,6,1,4383474
2,4,dft,509,7,1,4302584
2,4,dft,509,8,1,4394811
2,4,dft,509,9,1,4256426
2,4,dft,509,10,1,4368432
2,4,dft,509,11,1,4267932
2,4,dft,509,12,1,4400629
2,4,dft,509,13,1,5104416
2,4,dft,509,14,1,4368913
2,4,dft,509,15,1,4312919
2,4,dft,509,16,1,4330345
2,4,dft,509,17,1,4464475
2,4,dft,509,18,1,4560888
2,4,dft,509,19,1,4278708
2,4,dft,509,20,1,4298247
2,4,dft,509,21,1,4297977
2,4,dft,509,22,1,4302264
2,4,dft,509,23,1,4259410
2,4,dft,509,24,1,4265689
2,4,dft,509,25,1,4334081
2,4,dft,509,26,1,4349193
2,4,dft,509,27,1,4268383
2,4,dft,509,28,1,4286891
2,4,dft,509,29,1,4289244
2,4,dft,509,30,1,4275234
2,15,auto,509,0,33,58526.6969697
2,15,auto,509,1,33,59902.030303
2,15,auto,509,2,33,58695.1212121
2,15,auto,509,3,33,124476.181818
2,15,auto,509,4,33,59953.969697
2,15,auto,509,5,33,58489.030303
2,15,auto,509,6,33,60358.4848485
2,15,auto,509,7,33,58484.7878788
2,15,auto,509,8,33,60261.6666667
2,15,auto,509,9,33,58780.969697
2,15,auto,509,10,33,62543.8787879
2,15,auto,509,11,33,58548.5151515
2,15,auto,509,12,33,59706.3030303
2,15,auto,509,13,33,58495.4242424
2,15,auto,509,14,33,60422.2121212
2,15,auto,509,15,33,58343.3636364
2,15,auto,509,16,33,59218.3030303
2,15,auto,509,17,33,58951.5454545
2,15,auto,509,18,33,115044.909091
2,15,auto,509,19,33,58486.6363636
2,15,auto,509,20,33,60107.4848485
2,15,auto,509,21,33,58460.2121212
2,15,auto,509,22,33,59824.6666667
2,15,auto,509,23,33,58413.4848485
2,15,auto,509,24,33,59896.2727273
2,15,auto,509,25,33,58455.0606061
2,15,auto,509,26,33,61754.8181818
2,15,auto,509,27,33,58408.3030303
2,15,auto,509,28,33,59711.7575758
2,15,auto,509,29,33,58441.0909091
