session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,9,dft,1009,0,1,18385112
2,9,dft,1009,1,1,17134673
2,9,dft,1009,2,1,18992845
2,9,dft,1009,3,1,17165198
2,9,dft,1009,4,1,16619958
2,9,dft,1009,5,1,17807934
2,9,dft,1009,6,1,16558077
2,9,dft,1009,7,1,16469024
2,9,dft,1009,8,1,17778090
2,9,dft,1009,9,1,16634140
2,9,dft,1009,10,1,16671154
2,9,dft,1009,11,1,17789166
2,9,dft,1009,12,1,16427332
2,9,dft,1009,13,1,16431369
2,9,dft,1009,14,1,16790482
2,9,dft,1009,15,1,16444157
2,9,dft,1009,16,1,16284240
2,9,dft,1009,17,1,16460862
2,9,dft,1009,18,1,16340904
2,9,dft,1009,19,1,16376036
2,9,dft,1009,20,1,16314766
2,9,dft,1009,21,1,17063718
2,9,dft,1009,22,1,16585137
2,9,dft,1009,23,1,17492705
2,9,dft,1009,24,1,16551727
2,9,dft,1009,25,1,16434122
2,9,dft,1009,26,1,16697194
2,9,dft,1009,27,1,16465789
2,9,dft,1009,28,1,16318130
2,9,dft,1009,29,1,16696403
2,9,dft,1009,30,1,16303388
2,20,rader,1009,0,15,132113.666667
2,20,rader,1009,1,15,128417.533333
2,20,rader,1009,2,15,130803.066667
2,20,rader,1009,3,15,128745.933333
2,20,rader,1009,4,15,135765.733333
2,20,rader,1009,5,15,128030.266667
2,20,rader,1009,6,15,131405.266667
2,20,rader,1009,7,15,128559.066667
2,20,rader,1009,8,15,130427.8
2,20,rader,1009,9,15,127761.2
2,20,rader,1009,10,15,130381.8
2,20,rader,1009,11,15,128992.333333
2,20,rader,1009,12,15,136916.133333
2,20,rader,1009,13,15,127964.2
2,20,rader,1009,14,15,130763
2,20,rader,1009,15,15,127870.666667
2,20,rader,1009,16,15,129929.8
2,20,rader,1009,17,15,128709.266667
2,20,rader,1009,18,15,129875.666667
2,20,rader,1009,19,15,127930.133333
2,20,rader,1009,20,15,134345.666667
2,20,rader,1009,21,15,129648.666667
2,20,rader,1009,22,15,129717.4
2,20,rader,1009,23,15,129027.066667
2,20,rader,1009,24,15,127865.333333
2,20,rader,1009,25,15,142845.933333
2,20,rader,1009,26,15,138106.6
2,20,rader,1009,27,15,136213.066667
2,20,rader,1009,28,15,144554.8
2,20,rader,1009,29,15,137767.4
2,20,rader,1009,30,15,134071.2
2,32,mixed-radix,1009,0,1,34170300
2,32,mixed-radix,1009,1,1,21030914
2,32,mixed-radix,1009,2,1,20971435
2,32,mixed-radix,1009,3,1,21396047
2,32,mixed-radix,1009,4,1,20977524
2,32,mixed-radix,1009,5,1,20926679
2,32,mixed-radix,1009,6,1,21428775
2,32,mixed-radix,1009,7,1,22970136
2,32,mixed-radix,1009,8,1,24476404
2,32,mixed-radix,1009,9,1,22021977
2,32,mixed-radix,1009,10,1,22110117
2,32,mixed-radix,1009,11,1,22488289
2,32,mixed-radix,1009,12,1,21840597
2,32,mixed-radix,1009,13,1,21349237
2,32,mixed-radix,1009,14,1,21011835
2,32,mixed-radix,1009,15,1,22133753
2,32,mixed-radix,1009,16,1,22819992
2,32,mixed-radix,1009,17,1,21346052
2,32,mixed-radix,1009,18,1,21028129
2,32,mixed-radix,1009,19,1,21441904
2,32,mixed-radix,1009,20,1,21536585
2,32,mixed-radix,1009,21,1,25890936
2,32,mixed-radix,1009,22,1,21051083
2,32,mixed-radix,1009,23,1,21210190
2,32,mixed-radix,1009,24,1,23208084
2,32,mixed-radix,1009,25,1,23835832
2,32,mixed-radix,1009,26,1,23533784
2,32,mixed-radix,1009,27,1,22038080
2,32,mixed-radix,1009,28,1,21251086
2,32,mixed-radix,1009,29,1,23425833
2,32,mixed-radix,1009,30,1,21588202
2,33,auto,1009,0,8,157611.625
2,33,auto,1009,1,8,175964
2,33,auto,1009,2,8,152235
2,33,auto,1009,3,8,178670.5
2,33,auto,1009,4,8,169260.375
2,33,auto,1009,5,8,188318.625
2,33,auto,1009,6,8,158596.875
2,33,auto,1009,7,8,185474.375
2,33,auto,1009,8,8,148926.375
2,33,auto,1009,9,8,164620.875
2,33,auto,1009,10,8,162920.875
2,33,auto,1009,11,8,127890
2,33,auto,1009,12,8,134582.5
2,33,auto,1009,13,8,147141.125
2,33,auto,1009,14,8,134225.75
2,33,auto,1009,15,8,127798.625
2,33,auto,1009,16,8,127631
2,33,auto,1009,17,8,134552.375
2,33,auto,1009,18,8,134098.125
2,33,auto,1009,19,8,129212
