session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
1,7,mixed-radix,509,0,1,5551961
1,7,mixed-radix,509,1,1,5351833
1,7,mixed-radix,509,2,1,5370321
1,7,mixed-radix,509,3,1,5405193
1,7,mixed-radix,509,4,1,6868597
1,7,mixed-radix,509,5,1,5363471
1,7,mixed-radix,509,6,1,5428167
1,7,mixed-radix,509,7,1,5403860
1,7,mixed-radix,509,8,1,5407747
1,7,mixed-radix,509,9,1,5382178
1,7,mixed-radix,509,10,1,5312515
1,7,mixed-radix,509,11,1,5499012
1,7,mixed-radix,509,12,1,5369069
1,7,mixed-radix,509,13,1,5303682
1,7,mixed-radix,509,14,1,5341738
1,7,mixed-radix,509,15,1,5313827
1,7,mixed-radix,509,16,1,5474375
1,7,mixed-radix,509,17,1,5458452
1,7,mixed-radix,509,18,1,5721353
1,7,mixed-radix,509,19,1,5363621
1,7,mixed-radix,509,20,1,5499482
1,7,mixed-radix,509,21,1,5566392
1,7,mixed-radix,509,22,1,5490489
1,7,mixed-radix,509,23,1,5525652
1,7,mixed-radix,509,24,1,5434095
1,7,mixed-radix,509,25,1,5337692
1,7,mixed-radix,509,26,1,5460594
1,7,mixed-radix,509,27,1,5449187
1,7,mixed-radix,509,28,1,5437440
1,7,mixed-radix,509,29,1,5452974
1,7,mixed-radix,509,30,1,5432133
1,18,bluestein,509,0,14,85289.6428571
1,18,bluestein,509,1,14,77011.5714286
1,18,bluestein,509,2,14,77009.4285714
1,18,bluestein,509,3,14,97505.6428571
1,18,bluestein,509,4,14,80780.7142857
1,18,bluestein,509,5,14,76873.5
1,18,bluestein,509,6,14,76869.9285714
1,18,bluestein,509,7,14,90380.0714286
1,18,bluestein,509,8,14,76827.7142857
1,18,bluestein,509,9,14,81250.7857143
1,18,bluestein,509,10,14,78754.8571429
1,18,bluestein,509,11,14,81464.6428571
1,18,bluestein,509,12,14,80075.4285714
1,18,bluestein,509,13,14,81490.4285714
1,18,bluestein,509,14,14,80222.7857143
1,18,bluestein,509,15,14,76882.0714286
1,18,bluestein,509,16,14,84625.0714286
1,18,bluestein,509,17,14,77038.0714286
1,18,bluestein,509,18,14,90714.0714286
1,18,bluestein,509,19,14,77058.7857143
