session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,5,dft,1024,0,1,16970159
2,5,dft,1024,1,1,16766076
2,5,dft,1024,2,1,18086408
2,5,dft,1024,3,1,16839485
2,5,dft,1024,4,1,16945292
2,5,dft,1024,5,1,16821398
2,5,dft,1024,6,1,16816070
2,5,dft,1024,7,1,17091309
2,5,dft,1024,8,1,17633410
2,5,dft,1024,9,1,17203496
2,5,dft,1024,10,1,17530562
2,5,dft,1024,11,1,17206701
2,5,dft,1024,12,1,18312894
2,5,dft,1024,13,1,17709618
2,5,dft,1024,14,1,17466867
2,5,dft,1024,15,1,16947766
2,5,dft,1024,16,1,17365136
2,5,dft,1024,17,1,17111889
2,5,dft,1024,18,1,16862169
2,5,dft,1024,19,1,16990700
2,5,dft,1024,20,1,17463953
2,5,dft,1024,21,1,18621673
2,5,dft,1024,22,1,17265137
2,5,dft,1024,23,1,18209942
2,5,dft,1024,24,1,17309263
2,5,dft,1024,25,1,18493283
2,5,dft,1024,26,1,17165459
2,5,dft,1024,27,1,16768619
2,5,dft,1024,28,1,17744099
2,5,dft,1024,29,1,17122495
2,5,dft,1024,30,1,17101124
2,7,radix2-iterative,1024,0,130,16492.0461538
2,7,radix2-iterative,1024,1,130,21269.6076923
2,7,radix2-iterative,1024,2,130,21442.6384615
2,7,radix2-iterative,1024,3,130,15763.4230769
2,7,radix2-iterative,1024,4,130,15677.6846154
2,7,radix2-iterative,1024,5,130,25387.5769231
2,7,radix2-iterative,1024,6,130,26650.7538462
2,7,radix2-iterative,1024,7,130,15909.8
2,7,radix2-iterative,1024,8,130,17205.2615385
2,7,radix2-iterative,1024,9,130,15298.3538462
2,7,radix2-iterative,1024,10,130,17144.2461538
2,7,radix2-iterative,1024,11,130,15259.3692308
2,7,radix2-iterative,1024,12,130,18363.8307692
2,7,radix2-iterative,1024,13,130,20775.6461538
2,7,radix2-iterative,1024,14,130,17765.2461538
2,7,radix2-iterative,1024,15,130,17567.7230769
2,7,radix2-iterative,1024,16,130,16537.5769231
2,7,radix2-iterative,1024,17,130,17741.6692308
2,7,radix2-iterative,1024,18,130,45634.8230769
2,7,radix2-iterative,1024,19,130,19810.5153846
