session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,0,stockham-radix2,64,0,256,3805.26171875
2,0,stockham-radix2,64,1,256,4133.15625
2,0,stockham-radix2,64,2,256,3980.3671875
2,0,stockham-radix2,64,3,256,3857.9609375
2,0,stockham-radix2,64,4,256,3820.40234375
2,0,stockham-radix2,64,5,256,3801.74609375
2,0,stockham-radix2,64,6,256,3958.10546875
2,0,stockham-radix2,64,7,256,3799.28125
2,0,stockham-radix2,64,8,256,3797.32421875
2,0,stockham-radix2,64,9,256,3797.2421875
2,0,stockham-radix2,64,10,256,3959.59765625
2,0,stockham-radix2,64,11,256,3820.71484375
2,0,stockham-radix2,64,12,256,3804.9921875
2,0,stockham-radix2,64,13,256,3814.18359375
2,0,stockham-radix2,64,14,256,4209.26171875
2,0,stockham-radix2,64,15,256,3797.48046875
2,0,stockham-radix2,64,16,256,3801.0390625
2,0,stockham-radix2,64,17,256,3801.70703125
2,0,stockham-radix2,64,18,256,4029.3828125
2,0,stockham-radix2,64,19,256,3807.765625
2,0,stockham-radix2,64,20,256,3865.43359375
2,0,stockham-radix2,64,21,256,3813.63671875
2,0,stockham-radix2,64,22,256,4147.4140625
2,0,stockham-radix2,64,23,256,3799.58984375
2,0,stockham-radix2,64,24,256,3800.1796875
2,0,stockham-radix2,64,25,256,3799.55078125
2,0,stockham-radix2,64,26,256,4302.37109375
2,0,stockham-radix2,64,27,256,3860.89453125
2,0,stockham-radix2,64,28,256,3804.4453125
2,0,stockham-radix2,64,29,256,3804.32421875
2,0,stockham-radix2,64,30,256,4000.9453125
2,2,bluestein,64,0,220,11802.5409091
2,2,bluestein,64,1,220,10285.7863636
2,2,bluestein,64,2,220,8487.88636364
2,2,bluestein,64,3,220,8484.40454545
2,2,bluestein,64,4,220,8331.79090909
2,2,bluestein,64,5,220,8338.93636364
2,2,bluestein,64,6,220,8481.78636364
2,2,bluestein,64,7,220,8547.27272727
2,2,bluestein,64,8,220,8064.48181818
2,2,bluestein,64,9,220,8560.17272727
2,2,bluestein,64,10,220,11300.3818182
2,2,bluestein,64,11,220,8431.85
2,2,bluestein,64,12,220,8071.67727273
2,2,bluestein,64,13,220,8904.55
2,2,bluestein,64,14,220,8163.95
2,2,bluestein,64,15,220,8840.57272727
2,2,bluestein,64,16,220,14248.3090909
2,2,bluestein,64,17,220,8154.8
2,2,bluestein,64,18,220,8439.86363636
2,2,bluestein,64,19,220,8161.99090909
2,2,bluestein,64,20,220,8207.79090909
2,2,bluestein,64,21,220,8315.12727273
2,2,bluestein,64,22,220,8078.18636364
2,2,bluestein,64,23,220,8257.5
2,2,bluestein,64,24,220,8226.36363636
2,2,bluestein,64,25,220,8938.37272727
2,2,bluestein,64,26,220,8493.25909091
2,2,bluestein,64,27,220,9883.23181818
2,2,bluestein,64,28,220,8174.55909091
2,2,bluestein,64,29,220,8357.91818182
2,2,bluestein,64,30,220,8099.62727273
2,12,radix4,64,0,615,3133.61626016
2,12,radix4,64,1,615,3064.21300813
2,12,radix4,64,2,615,3117.8195122
2,12,radix4,64,3,615,3129.83902439
2,12,radix4,64,4,615,3075.57886179
2,12,radix4,64,5,615,3218.29430894
2,12,radix4,64,6,615,3093.00325203
2,12,radix4,64,7,615,3105.75284553
2,12,radix4,64,8,615,3060.97235772
2,12,radix4,64,9,615,3135.09756098
2,12,radix4,64,10,615,3069.58536585
2,12,radix4,64,11,615,3114.61300813
2,12,radix4,64,12,615,3066.10081301
2,12,radix4,64,13,615,3126.85853659
2,12,radix4,64,14,615,3101.43739837
2,12,radix4,64,15,615,3119.20487805
2,12,radix4,64,16,615,3087.15772358
2,12,radix4,64,17,615,3121.51707317
2,12,radix4,64,18,615,3073.85203252
2,12,radix4,64,19,615,3117.98373984
2,12,radix4,64,20,615,3090.72195122
2,12,radix4,64,21,615,3125.79837398
2,12,radix4,64,22,615,3177.74796748
2,12,radix4,64,23,615,3151.83739837
2,12,radix4,64,24,615,3054.81626016
2,12,radix4,64,25,615,3080.98536585
2,12,radix4,64,26,615,3104.36910569
2,12,radix4,64,27,615,3084.09593496
2,12,radix4,64,28,615,3122.91707317
2,12,radix4,64,29,615,3082.35284553
2,12,radix4,64,30,615,3122.00487805
2,13,auto,64,0,2984,681.636394102
2,13,auto,64,1,2984,668.65113941
2,13,auto,64,2,2984,701.350536193
2,13,auto,64,3,2984,669.114276139
2,13,auto,64,4,2984,677.917895442
2,13,auto,64,5,2984,668.738270777
2,13,auto,64,6,2984,678.04189008
2,13,auto,64,7,2984,669.913203753
2,13,auto,64,8,2984,679.048592493
2,13,auto,64,9,2984,671.748994638
2,13,auto,64,10,2984,681.374329759
2,13,auto,64,11,2984,703.00502681
2,13,auto,64,12,2984,682.646447721
2,13,auto,64,13,2984,826.056635389
2,13,auto,64,14,2984,696.356568365
2,13,auto,64,15,2984,663.73458445
2,13,auto,64,16,2984,703.360924933
2,13,auto,64,17,2984,677.508042895
2,13,auto,64,18,2984,686.556635389
2,13,auto,64,19,2984,678.669571046
2,13,auto,64,20,2984,682.622989276
2,13,auto,64,21,2984,679.176273458
2,13,auto,64,22,2984,679.894436997
2,13,auto,64,23,2984,682.153150134
2,13,auto,64,24,2984,712.828753351
2,13,auto,64,25,2984,680.508378016
2,13,auto,64,26,2984,688.610589812
2,13,auto,64,27,2984,681.706769437
2,13,auto,64,28,2984,691.574061662
2,13,auto,64,29,2984,771.270107239
2,13,auto,64,30,2984,664.264745308
2,14,mixed-radix,64,0,197,10174.5126904
2,14,mixed-radix,64,1,197,10324.1725888
2,14,mixed-radix,64,2,197,10112.4923858
2,14,mixed-radix,64,3,197,10244.4619289
2,14,mixed-radix,64,4,197,10150.8730964
2,14,mixed-radix,64,5,197,10366.2690355
2,14,mixed-radix,64,6,197,10713.4314721
2,14,mixed-radix,64,7,197,10504.6954315
2,14,mixed-radix,64,8,197,10095.4619289
2,14,mixed-radix,64,9,197,10272.4720812
2,14,mixed-radix,64,10,197,10112.6954315
2,14,mixed-radix,64,11,197,10257.0203046
2,14,mixed-radix,64,12,197,10135.6700508
2,14,mixed-radix,64,13,197,10277
2,14,mixed-radix,64,14,197,10121.4873096
2,14,mixed-radix,64,15,197,10289.1979695
2,14,mixed-radix,64,16,197,10113.2994924
2,14,mixed-radix,64,17,197,10925.1725888
2,14,mixed-radix,64,18,197,10687.1522843
2,14,mixed-radix,64,19,197,10261.7461929
2,14,mixed-radix,64,20,197,10843.5786802
2,14,mixed-radix,64,21,197,14797.0152284
2,14,mixed-radix,64,22,197,12158.4720812
2,14,mixed-radix,64,23,197,10304.7563452
2,14,mixed-radix,64,24,197,10660.9695431
2,14,mixed-radix,64,25,197,9978.2284264
2,14,mixed-radix,64,26,197,10503.6852792
2,14,mixed-radix,64,27,197,12626.7817259
2,14,mixed-radix,64,28,197,10346.4923858
2,14,mixed-radix,64,29,197,10469.1167513
2,14,mixed-radix,64,30,197,10190.9796954
2,17,radix2-recursive,64,0,656,2805.86128049
2,17,radix2-recursive,64,1,656,2849.29573171
2,17,radix2-recursive,64,2,656,2814.67073171
2,17,radix2-recursive,64,3,656,2960.45121951
2,17,radix2-recursive,64,4,656,2805.23628049
2,17,radix2-recursive,64,5,656,2960.86280488
2,17,radix2-recursive,64,6,656,2809.83231707
2,17,radix2-recursive,64,7,656,3207.89176829
2,17,radix2-recursive,64,8,656,2872.68445122
2,17,radix2-recursive,64,9,656,2930.97103659
