session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
0,5,mixed-radix,509,0,1,5345744
0,5,mixed-radix,509,1,1,5320737
0,5,mixed-radix,509,2,1,5374506
0,5,mixed-radix,509,3,1,5371832
0,5,mixed-radix,509,4,1,5355679
0,5,mixed-radix,509,5,1,5328608
0,5,mixed-radix,509,6,1,5380165
0,5,mixed-radix,509,7,1,5324553
0,5,mixed-radix,509,8,1,5340636
0,5,mixed-radix,509,9,1,5359976
0,5,mixed-radix,509,10,1,5309370
0,5,mixed-radix,509,11,1,5303742
0,5,mixed-radix,509,12,1,5367246
0,5,mixed-radix,509,13,1,5334938
0,5,mixed-radix,509,14,1,5306606
0,5,mixed-radix,509,15,1,5338834
0,5,mixed-radix,509,16,1,5317932
0,5,mixed-radix,509,17,1,5348519
0,5,mixed-radix,509,18,1,5395007
0,5,mixed-radix,509,19,1,5319075
0,5,mixed-radix,509,20,1,5322750
0,5,mixed-radix,509,21,1,5396550
0,5,mixed-radix,509,22,1,5302179
0,5,mixed-radix,509,23,1,5303301
0,5,mixed-radix,509,24,1,5340706
0,5,mixed-radix,509,25,1,5305875
0,5,mixed-radix,509,26,1,5316972
0,5,mixed-radix,509,27,1,5356680
0,5,mixed-radix,509,28,1,5300927
0,5,mixed-radix,509,29,1,5549828
0,5,mixed-radix,509,30,1,5498761
0,9,bluestein,509,0,16,81928
0,9,bluestein,509,1,16,77154.625
0,9,bluestein,509,2,16,77515.8125
0,9,bluestein,509,3,16,86671.3125
0,9,bluestein,509,4,16,86637.5
0,9,bluestein,509,5,16,76948.6875
0,9,bluestein,509,6,16,82411.875
0,9,bluestein,509,7,16,82649.6875
0,9,bluestein,509,8,16,76832.3125
0,9,bluestein,509,9,16,76968.75
0,9,bluestein,509,10,16,78914.8125
0,9,bluestein,509,11,16,76838.5625
0,9,bluestein,509,12,16,77619.6875
0,9,bluestein,509,13,16,78487.9375
0,9,bluestein,509,14,16,76664.5
0,9,bluestein,509,15,16,79874.9375
0,9,bluestein,509,16,16,79894.3125
0,9,bluestein,509,17,16,77022.5625
0,9,bluestein,509,18,16,76734.625
0,9,bluestein,509,19,16,78268.1875
0,9,bluestein,509,20,16,76811
0,9,bluestein,509,21,16,76804.125
0,9,bluestein,509,22,16,78842.8125
0,9,bluestein,509,23,16,76802.25
0,9,bluestein,509,24,16,76803.5
0,9,bluestein,509,25,16,77085.8125
0,9,bluestein,509,26,16,78182.4375
0,9,bluestein,509,27,16,76804.8125
0,9,bluestein,509,28,16,76832.875
0,9,bluestein,509,29,16,78455.375
0,9,bluestein,509,30,16,76876.125
0,14,auto,509,0,34,58912.8235294
0,14,auto,509,1,34,60003.5882353
0,14,auto,509,2,34,58869.5588235
0,14,auto,509,3,34,59796.7941176
0,14,auto,509,4,34,59339.9411765
0,14,auto,509,5,34,61985.9411765
0,14,auto,509,6,34,58751.1470588
0,14,auto,509,7,34,60099.6176471
0,14,auto,509,8,34,60615.9411765
0,14,auto,509,9,34,60109.3235294
0,14,auto,509,10,34,58720.5
0,14,auto,509,11,34,59380.8823529
0,14,auto,509,12,34,58474.5588235
0,14,auto,509,13,34,59288.7058824
0,14,auto,509,14,34,67706.2058824
0,14,auto,509,15,34,60748.5
0,14,auto,509,16,34,68988.7058824
0,14,auto,509,17,34,58688.6764706
0,14,auto,509,18,34,60284.5882353
0,14,auto,509,19,34,58615.0294118
0,14,auto,509,20,34,59532.8823529
0,14,auto,509,21,34,58588.2647059
0,14,auto,509,22,34,59375.5882353
0,14,auto,509,23,34,58678.6764706
0,14,auto,509,24,34,59369.0882353
0,14,auto,509,25,34,58573.5294118
0,14,auto,509,26,34,59775
0,14,auto,509,27,34,58517.2647059
0,14,auto,509,28,34,67409.2941176
0,14,auto,509,29,34,58709.2941176
0,14,auto,509,30,34,61380.0294118
0,18,dft,509,0,1,4247262
0,18,dft,509,1,1,4239420
0,18,dft,509,2,1,5867680
0,18,dft,509,3,1,4303386
0,18,dft,509,4,1,4335443
0,18,dft,509,5,1,4275874
0,18,dft,509,6,1,4247983
0,18,dft,509,7,1,4252399
0,18,dft,509,8,1,4265009
0,18,dft,509,9,1,4251828
0,18,dft,509,10,1,4244999
0,18,dft,509,11,1,4242374
0,18,dft,509,12,1,4248354
0,18,dft,509,13,1,4242064
0,18,dft,509,14,1,4243897
0,18,dft,509,15,1,4504684
0,18,dft,509,16,1,4276025
0,18,dft,509,17,1,4272169
0,18,dft,509,18,1,4265338
0,18,dft,509,19,1,4240903
0,18,dft,509,20,1,4265639
0,18,dft,509,21,1,4284928
0,18,dft,509,22,1,4263295
0,18,dft,509,23,1,4237107
0,18,dft,509,24,1,4241703
0,18,dft,509,25,1,4237768
0,18,dft,509,26,1,4243136
0,18,dft,509,27,1,4252159
0,18,dft,509,28,1,4251708
0,18,dft,509,29,1,4246171
0,18,dft,509,30,1,4353599
0,38,rader,509,0,34,58302.2352941
0,38,rader,509,1,34,60566.1764706
0,38,rader,509,2,34,58957.6176471
0,38,rader,509,3,34,60013.5882353
0,38,rader,509,4,34,58388.8529412
0,38,rader,509,5,34,60646.8823529
0,38,rader,509,6,34,60072.7941176
0,38,rader,509,7,34,63069.6176471
0,38,rader,509,8,34,59056.8823529
0,38,rader,509,9,34,60940.2647059
0,38,rader,509,10,34,59079.2647059
0,38,rader,509,11,34,60910.5294118
0,38,rader,509,12,34,58899.2941176
0,38,rader,509,13,34,64998.0588235
0,38,rader,509,14,34,58394.1470588
0,38,rader,509,15,34,60949.0882353
0,38,rader,509,16,34,58990.2941176
0,38,rader,509,17,34,59821.5588235
0,38,rader,509,18,34,58237.1176471
0,38,rader,509,19,34,61371.7941176
0,38,rader,509,20,34,58622.7058824
0,38,rader,509,21,34,60106.0882353
0,38,rader,509,22,34,59025.9705882
0,38,rader,509,23,34,60747.3235294
0,38,rader,509,24,34,58355.2647059
0,38,rader,509,25,34,64136.2058824
0,38,rader,509,26,34,60261.8823529
0,38,rader,509,27,34,62931.1470588
0,38,rader,509,28,34,58443.6176471
0,38,rader,509,29,34,59557.6470588
0,38,rader,509,30,34,60547.0294118
