session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,1,radix2-iterative,256,0,628,3190.60191083
2,1,radix2-iterative,256,1,628,3236.09872611
2,1,radix2-iterative,256,2,628,3163.57165605
2,1,radix2-iterative,256,3,628,3198.43152866
2,1,radix2-iterative,256,4,628,3159.72770701
2,1,radix2-iterative,256,5,628,3389.39968153
2,1,radix2-iterative,256,6,628,3167.89171975
2,1,radix2-iterative,256,7,628,3267.05254777
2,1,radix2-iterative,256,8,628,3159.82324841
2,1,radix2-iterative,256,9,628,3230.90127389
2,1,radix2-iterative,256,10,628,3171.44745223
2,1,radix2-iterative,256,11,628,3299.4410828
2,1,radix2-iterative,256,12,628,3189.3566879
2,1,radix2-iterative,256,13,628,3382.76592357
2,1,radix2-iterative,256,14,628,3167.01592357
2,1,radix2-iterative,256,15,628,3229.76751592
2,1,radix2-iterative,256,16,628,3159.99840764
2,1,radix2-iterative,256,17,628,3204.58598726
2,1,radix2-iterative,256,18,628,3162.34394904
2,1,radix2-iterative,256,19,628,3202.11464968
2,1,radix2-iterative,256,20,628,3163.79458599
2,1,radix2-iterative,256,21,628,3402.20541401
2,1,radix2-iterative,256,22,628,3162.24681529
2,1,radix2-iterative,256,23,628,3226.16401274
2,1,radix2-iterative,256,24,628,3170.14171975
2,1,radix2-iterative,256,25,628,3201.35031847
2,1,radix2-iterative,256,26,628,3163.47452229
2,1,radix2-iterative,256,27,628,3480.74522293
2,1,radix2-iterative,256,28,628,3164.24044586
2,1,radix2-iterative,256,29,628,3834.45541401
2,1,radix2-iterative,256,30,628,3235.27070064
2,3,split-radix,256,0,140,14415.0642857
2,3,split-radix,256,1,140,14603.6357143
2,3,split-radix,256,2,140,14391.8142857
2,3,split-radix,256,3,140,14651.9142857
2,3,split-radix,256,4,140,14384.7357143
2,3,split-radix,256,5,140,15397.6714286
2,3,split-radix,256,6,140,14384.95
2,3,split-radix,256,7,140,14697.9785714
2,3,split-radix,256,8,140,14417.2071429
2,3,split-radix,256,9,140,14682.25
2,3,split-radix,256,10,140,14398.3214286
2,3,split-radix,256,11,140,14670.5857143
2,3,split-radix,256,12,140,14456.7714286
2,3,split-radix,256,13,140,17737.8571429
2,3,split-radix,256,14,140,14391.6714286
2,3,split-radix,256,15,140,14696.6285714
2,3,split-radix,256,16,140,14395.9642857
2,3,split-radix,256,17,140,14591.8285714
2,3,split-radix,256,18,140,14398.1142857
2,3,split-radix,256,19,140,14543.4
2,3,split-radix,256,20,140,14392.7428571
2,3,split-radix,256,21,140,15122.4
2,3,split-radix,256,22,140,14396.9
2,3,split-radix,256,23,140,14719.6571429
2,3,split-radix,256,24,140,14468.2857143
2,3,split-radix,256,25,140,14594.4785714
2,3,split-radix,256,26,140,14561.5714286
2,3,split-radix,256,27,140,14591.8928571
2,3,split-radix,256,28,140,15555.55
2,3,split-radix,256,29,140,14476.8714286
2,3,split-radix,256,30,140,14759.7928571
2,6,auto,256,0,619,3168.84491115
2,6,auto,256,1,619,3230.22778675
2,6,auto,256,2,619,3329.39095315
2,6,auto,256,3,619,3721.08723748
2,6,auto,256,4,619,4352.30048465
2,6,auto,256,5,619,3644.33279483
2,6,auto,256,6,619,3380.42003231
2,6,auto,256,7,619,3960.24717286
2,6,auto,256,8,619,3538.52180937
2,6,auto,256,9,619,3161.48303716
2,6,auto,256,10,619,3582.52988691
2,6,auto,256,11,619,3174.24878837
2,6,auto,256,12,619,3248.41357027
2,6,auto,256,13,619,3159.08885299
2,6,auto,256,14,619,3208.49919225
2,6,auto,256,15,619,3173.45718901
2,6,auto,256,16,619,3213.64458805
2,6,auto,256,17,619,3162.84168013
2,6,auto,256,18,619,3226.60420032
2,6,auto,256,19,619,3640.01292407
2,6,auto,256,20,619,3346.92891761
2,6,auto,256,21,619,3173.92568659
2,6,auto,256,22,619,3209.22778675
2,6,auto,256,23,619,3158.62035541
2,6,auto,256,24,619,3222.2358643
2,6,auto,256,25,619,3435.18578352
2,6,auto,256,26,619,5015.38449111
2,6,auto,256,27,619,3909.30048465
2,6,auto,256,28,619,4296.90145396
2,6,auto,256,29,619,4577.93537964
2,6,auto,256,30,619,3206.00807754
2,11,radix2-recursive,256,0,159,12466.7610063
2,11,radix2-recursive,256,1,159,13013.4842767
2,11,radix2-recursive,256,2,159,12512.4339623
2,11,radix2-recursive,256,3,159,12957.5597484
2,11,radix2-recursive,256,4,159,12495.7987421
2,11,radix2-recursive,256,5,159,13066.2767296
2,11,radix2-recursive,256,6,159,12482.4465409
2,11,radix2-recursive,256,7,159,12941.4968553
2,11,radix2-recursive,256,8,159,12499.4591195
2,11,radix2-recursive,256,9,159,12916.3018868
2,11,radix2-recursive,256,10,159,12489.3144654
2,11,radix2-recursive,256,11,159,13118.2389937
2,11,radix2-recursive,256,12,159,12815.2704403
2,11,radix2-recursive,256,13,159,12995.8553459
2,11,radix2-recursive,256,14,159,12471.2327044
2,11,radix2-recursive,256,15,159,13138.8930818
2,11,radix2-recursive,256,16,159,12612.7044025
2,11,radix2-recursive,256,17,159,12784.5345912
2,11,radix2-recursive,256,18,159,12676.8930818
2,11,radix2-recursive,256,19,159,12835.0440252
2,11,radix2-recursive,256,20,159,12583.7295597
2,11,radix2-recursive,256,21,159,13005.5534591
2,11,radix2-recursive,256,22,159,12740.3144654
2,11,radix2-recursive,256,23,159,12472.8176101
2,11,radix2-recursive,256,24,159,13245.5974843
2,11,radix2-recursive,256,25,159,12687.408805
2,11,radix2-recursive,256,26,159,12759.2075472
2,11,radix2-recursive,256,27,159,12473.8176101
2,11,radix2-recursive,256,28,159,12665.427673
2,11,radix2-recursive,256,29,159,12468.4654088
2,11,radix2-recursive,256,30,159,12619.0691824
2,16,mixed-radix,256,0,39,51985.4615385
2,16,mixed-radix,256,1,39,56659.5897436
2,16,mixed-radix,256,2,39,52031.4358974
2,16,mixed-radix,256,3,39,50906.6666667
2,16,mixed-radix,256,4,39,50821.1794872
2,16,mixed-radix,256,5,39,50576.9487179
2,16,mixed-radix,256,6,39,51009.1538462
2,16,mixed-radix,256,7,39,58507.2051282
2,16,mixed-radix,256,8,39,66263.5897436
2,16,mixed-radix,256,9,39,51824.974359
2,16,mixed-radix,256,10,39,50181.2307692
2,16,mixed-radix,256,11,39,51131.8974359
2,16,mixed-radix,256,12,39,50344.0512821
2,16,mixed-radix,256,13,39,51014.7692308
2,16,mixed-radix,256,14,39,50340.974359
2,16,mixed-radix,256,15,39,50999.1282051
2,16,mixed-radix,256,16,39,50414.4102564
2,16,mixed-radix,256,17,39,50830.6666667
2,16,mixed-radix,256,18,39,50196.1282051
2,16,mixed-radix,256,19,39,50871
2,16,mixed-radix,256,20,39,50153.4871795
2,16,mixed-radix,256,21,39,50793.6923077
2,16,mixed-radix,256,22,39,50147.8717949
2,16,mixed-radix,256,23,39,50749
2,16,mixed-radix,256,24,39,50237.7435897
2,16,mixed-radix,256,25,39,51055.8717949
2,16,mixed-radix,256,26,39,50154.7948718
2,16,mixed-radix,256,27,39,51000.6666667
2,16,mixed-radix,256,28,39,50109.0769231
2,16,mixed-radix,256,29,39,50922.8461538
2,16,mixed-radix,256,30,39,76362.2051282
2,26,radix4,256,0,126,17350.2222222
2,26,radix4,256,1,126,15702.0634921
2,26,radix4,256,2,126,16143.6746032
2,26,radix4,256,3,126,15702.3809524
2,26,radix4,256,4,126,16065.1428571
2,26,radix4,256,5,126,15766.4444444
2,26,radix4,256,6,126,15881.6984127
2,26,radix4,256,7,126,15667.5714286
2,26,radix4,256,8,126,16005.6111111
