algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
auto,256,random,1.66984323525e-15,1.84547940859e-15,2.38534039412e-15,1.52892123225e-15,1.84369700698e-15,2.98886721706e-15,3.14410769831e-15
mixed-radix,256,random,6.1741274406e-16,6.94354390782e-16,1.26530608638e-15,6.51476476449e-16,6.9223506617e-16,1.0902987929e-15,5.55111512313e-16
bluestein,256,random,5.10462399335e-15,5.23297084165e-15,7.52561645393e-15,4.7529768681e-15,5.233370792e-15,8.10916485046e-15,8.18803593544e-15
radix2-iterative,256,random,1.66984323525e-15,1.84547940859e-15,2.38534039412e-15,1.52892123225e-15,1.84369700698e-15,2.98886721706e-15,3.14410769831e-15
radix2-recursive,256,random,1.66984323525e-15,1.84547940859e-15,2.38534039412e-15,1.52892123225e-15,1.84369700698e-15,2.98886721706e-15,3.14410769831e-15
stockham-radix2,256,random,3.21945065977e-16,3.42663616265e-16,5.56131591172e-16,3.1576500636e-16,3.40776710662e-16,5.14523404219e-16,4.04127281044e-16
radix4,256,random,2.67518126537e-16,2.74850522567e-16,4.00109076261e-16,2.58334870538e-16,2.73667670319e-16,5.09164390406e-16,3.14018491737e-16
split-radix,256,random,2.47146880866e-16,2.5341083556e-16,3.02687225462e-16,2.39517633734e-16,2.53934297342e-16,3.61398355885e-16,2.86097924908e-16
dft,256,random,3.5627583485e-14,4.19754565964e-14,7.61338421287e-14,3.94147003265e-14,4.19746090416e-14,5.84870137397e-14,5.5898215047e-14
auto,256,tones,3.31827694498e-15,2.12092793862e-15,2.41019743338e-15,1.80350099708e-15,2.12214288819e-15,3.51273046702e-15,6.32559250384e-15
mixed-radix,256,tones,1.39197814951e-15,6.26916441894e-16,5.3801562846e-16,6.04205998395e-16,6.30951783969e-16,7.70733867398e-16,1.20920056805e-15
bluestein,256,tones,1.09976448972e-14,3.98461665192e-15,2.16681480631e-15,3.62067293719e-15,3.98348390869e-15,6.55110373815e-15,2.35901207747e-14
radix2-iterative,256,tones,3.31827694498e-15,2.12092793862e-15,2.41019743338e-15,1.80350099708e-15,2.12214288819e-15,3.51273046702e-15,6.32559250384e-15
radix2-recursive,256,tones,3.31827694498e-15,2.12092793862e-15,2.41019743338e-15,1.80350099708e-15,2.12214288819e-15,3.51273046702e-15,6.32559250384e-15
stockham-radix2,256,tones,9.50332182858e-16,3.52029666769e-16,2.45409307568e-16,3.39585130355e-16,3.55699390771e-16,5.07433200101e-16,7.44760245974e-16
radix4,256,tones,9.79581590715e-16,3.08869715655e-16,1.85591524701e-16,3.00447675847e-16,3.11843625079e-16,3.8812240236e-16,5.79553433517e-16
split-radix,256,tones,9.15643630355e-16,2.9695693023e-16,2.67724031083e-16,2.84387717742e-16,3.02825083747e-16,3.76726043344e-16,6.68442777729e-16
dft,256,tones,1.12669177338e-13,3.06229801e-14,2.24347967916e-14,2.97231664164e-14,3.06205991866e-14,4.52974537217e-14,1.24213814823e-13
auto,256,impulse,2.30042145595e-15,2.55614424258e-15,4.56210331231e-15,9.15069684726e-15,2.55517229028e-15,2.2941560844e-15,3.89093177874e-15
mixed-radix,256,impulse,5.39940368933e-16,6.45293903893e-16,1.57253538455e-15,4.38763584019e-15,6.40184126391e-16,5.07412641566e-16,2.49800180541e-16
bluestein,256,impulse,6.6343895677e-15,8.15720224019e-15,2.16332856315e-14,4.22086812781e-14,8.15789830415e-15,5.82727294671e-15,7.52682902982e-15
radix2-iterative,256,impulse,2.30042145595e-15,2.55614424258e-15,4.56210331231e-15,9.15069684726e-15,2.55517229028e-15,2.2941560844e-15,3.89093177874e-15
radix2-recursive,256,impulse,2.30042145595e-15,2.55614424258e-15,4.56210331231e-15,9.15069684726e-15,2.55517229028e-15,2.2941560844e-15,3.89093177874e-15
stockham-radix2,256,impulse,2.72603262012e-16,3.18014781802e-16,7.00796428817e-16,1.96708121451e-15,3.13007073686e-16,2.43427944381e-16,1.66533453694e-16
radix4,256,impulse,1.78026347829e-16,2.04263159817e-16,3.98724389194e-16,1.07278645715e-15,1.99806994523e-16,1.37389794733e-16,8.44152876808e-17
split-radix,256,impulse,1.78026347829e-16,2.04263159817e-16,3.98724389194e-16,1.07278645715e-15,1.99806994523e-16,1.37389794733e-16,9.13666077282e-17
dft,256,impulse,1.90892242658e-14,2.62290976688e-14,7.73438832728e-14,2.95140017471e-13,2.62262919899e-14,1.36353992252e-14,1.06399214904e-14
auto,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
mixed-radix,256,alternating,1.28865439455e-15,1.7884022009e-16,6.78342799196e-17,1.39932531629e-16,1.78792985859e-16,5.2558599904e-16,4.89858719659e-16
bluestein,256,alternating,4.15319984376e-14,7.83384151125e-15,5.49705370864e-15,5.84817061862e-15,7.83386308215e-15,1.9367285022e-14,2.98717015313e-14
radix2-iterative,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
radix2-recursive,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
