algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
stockham-radix2,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
radix4,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
split-radix,256,alternating,1.36370152777e-16,1.51758073076e-17,6.60193996233e-18,9.36045185077e-18,1.32189113086e-17,3.91286144526e-17,0
dft,256,alternating,2.7453540065e-13,3.02859394702e-14,1.60510600511e-14,2.70125815277e-14,3.02861231257e-14,7.51187694005e-14,8.931670354e-14
auto,256,dynamic-range,1.84326963013e-15,1.81600317637e-15,2.13819356918e-15,3.66613271963e-15,1.81570535604e-15,2.65386513743e-15,0.0016969529754
mixed-radix,256,dynamic-range,6.43539603613e-16,7.01117761613e-16,1.18542326875e-15,2.19477841806e-15,6.98022033037e-16,5.79827812162e-16,0.000136478758392
bluestein,256,dynamic-range,5.94855008603e-15,5.77125630566e-15,6.11997783056e-15,1.79134854016e-14,5.77071907665e-15,4.66431940216e-15,0.00313188271745
radix2-iterative,256,dynamic-range,1.84326963013e-15,1.81600317637e-15,2.13819356918e-15,3.66613271963e-15,1.81570535604e-15,2.65386513743e-15,0.0016969529754
radix2-recursive,256,dynamic-range,1.84326963013e-15,1.81600317637e-15,2.13819356918e-15,3.66613271963e-15,1.81570535604e-15,2.65386513743e-15,0.0016969529754
stockham-radix2,256,dynamic-range,3.27795777221e-16,3.34571019707e-16,4.75652750397e-16,1.13232587699e-15,3.33590401704e-16,2.48998770047e-16,6.103515625e-05
radix4,256,dynamic-range,2.76837949705e-16,2.714339216e-16,3.33268276741e-16,1.0006397834e-15,2.69483259019e-16,1.5718713447e-16,8.63167457503e-05
split-radix,256,dynamic-range,2.76162638719e-16,2.73249355706e-16,3.95129818879e-16,9.97547333156e-16,2.7195751885e-16,1.82915645667e-16,6.82393791962e-05
dft,256,dynamic-range,4.9763584129e-14,6.23629975176e-14,1.11535717777e-13,2.13797532989e-13,6.23594966232e-14,4.70760209925e-14,0.0301679804821
