session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
1,8,dft,1024,0,1,16815058
1,8,dft,1024,1,1,17071950
1,8,dft,1024,2,1,16778123
1,8,dft,1024,3,1,16842840
1,8,dft,1024,4,1,16823662
1,8,dft,1024,5,1,17237216
1,8,dft,1024,6,1,17243345
1,8,dft,1024,7,1,17235614
1,8,dft,1024,8,1,17106411
1,8,dft,1024,9,1,16787278
1,8,dft,1024,10,1,17452876
1,8,dft,1024,11,1,17327711
1,8,dft,1024,12,1,17227091
1,8,dft,1024,13,1,16906144
1,8,dft,1024,14,1,17055215
1,8,dft,1024,15,1,17297806
1,8,dft,1024,16,1,17046383
1,8,dft,1024,17,1,17096126
1,8,dft,1024,18,1,17090578
1,8,dft,1024,19,1,16769821
1,8,dft,1024,20,1,16826115
1,8,dft,1024,21,1,17012382
1,8,dft,1024,22,1,17026062
1,8,dft,1024,23,1,17113442
1,8,dft,1024,24,1,17174633
1,8,dft,1024,25,1,17140532
1,8,dft,1024,26,1,17149135
1,8,dft,1024,27,1,18342729
1,8,dft,1024,28,1,17666459
1,8,dft,1024,29,1,16947400
1,8,dft,1024,30,1,17079211
1,12,bluestein,1024,0,12,166401.416667
1,12,bluestein,1024,1,12,167357.916667
1,12,bluestein,1024,2,12,165943.25
1,12,bluestein,1024,3,12,167322.833333
1,12,bluestein,1024,4,12,168074.75
1,12,bluestein,1024,5,12,222057.5
1,12,bluestein,1024,6,12,178325
1,12,bluestein,1024,7,12,166442.333333
1,12,bluestein,1024,8,12,166999
1,12,bluestein,1024,9,12,170378.166667
1,12,bluestein,1024,10,12,162426.416667
1,12,bluestein,1024,11,12,165903.25
1,12,bluestein,1024,12,12,164994.333333
1,12,bluestein,1024,13,12,164360.083333
1,12,bluestein,1024,14,12,162119.25
1,12,bluestein,1024,15,12,164900.916667
1,12,bluestein,1024,16,12,183310.75
1,12,bluestein,1024,17,12,170259.666667
1,12,bluestein,1024,18,12,162195.25
1,12,bluestein,1024,19,12,165587.75
1,12,bluestein,1024,20,12,166649.333333
1,12,bluestein,1024,21,12,167101.666667
1,12,bluestein,1024,22,12,162210.166667
1,12,bluestein,1024,23,12,165576.916667
1,12,bluestein,1024,24,12,175303
1,12,bluestein,1024,25,12,167182.666667
1,12,bluestein,1024,26,12,162317
1,12,bluestein,1024,27,12,164407.583333
1,12,bluestein,1024,28,12,162271.166667
1,12,bluestein,1024,29,12,164641.333333
1,12,bluestein,1024,30,12,162474
1,16,auto,1024,0,130,15341.1076923
1,16,auto,1024,1,130,16194.2230769
1,16,auto,1024,2,130,15338.0230769
1,16,auto,1024,3,130,15642.9384615
1,16,auto,1024,4,130,15791.2384615
1,16,auto,1024,5,130,15944.6923077
1,16,auto,1024,6,130,15700.5692308
1,16,auto,1024,7,130,16049.6923077
1,16,auto,1024,8,130,15397.8846154
1,16,auto,1024,9,130,16057.2461538
1,16,auto,1024,10,130,15694.6307692
1,16,auto,1024,11,130,16650.7461538
1,16,auto,1024,12,130,17507.2538462
1,16,auto,1024,13,130,17381.5230769
1,16,auto,1024,14,130,18501.1846154
1,16,auto,1024,15,130,15999.1615385
1,16,auto,1024,16,130,17225.4461538
1,16,auto,1024,17,130,16067.4923077
1,16,auto,1024,18,130,15672.4461538
1,16,auto,1024,19,130,15278.2384615
1,16,auto,1024,20,130,15556.4307692
1,16,auto,1024,21,130,15293.4153846
1,16,auto,1024,22,130,15971.3538462
1,16,auto,1024,23,130,15295.6538462
1,16,auto,1024,24,130,16273.9538462
1,16,auto,1024,25,130,15754.8769231
1,16,auto,1024,26,130,15650.8692308
1,16,auto,1024,27,130,15745.3923077
1,16,auto,1024,28,130,15846.0076923
1,16,auto,1024,29,130,15631.0769231
1,16,auto,1024,30,130,16394.4384615
1,19,split-radix,1024,0,16,73188.125
1,19,split-radix,1024,1,16,69774.9375
1,19,split-radix,1024,2,16,73018.5
1,19,split-radix,1024,3,16,72815.75
1,19,split-radix,1024,4,16,70573.625
1,19,split-radix,1024,5,16,74649.0625
1,19,split-radix,1024,6,16,75774.5
1,19,split-radix,1024,7,16,69733
1,19,split-radix,1024,8,16,69730.5
1,19,split-radix,1024,9,16,75484.0625
1,19,split-radix,1024,10,16,73042.875
1,19,split-radix,1024,11,16,69741.1875
1,19,split-radix,1024,12,16,69825.625
1,19,split-radix,1024,13,16,82659.0625
1,19,split-radix,1024,14,16,72520.3125
1,19,split-radix,1024,15,16,69726.75
1,19,split-radix,1024,16,16,75353.25
1,19,split-radix,1024,17,16,69749.875
1,19,split-radix,1024,18,16,69703.5625
1,19,split-radix,1024,19,16,72135.3125
1,19,split-radix,1024,20,16,72025.125
1,19,split-radix,1024,21,16,69739.3125
1,19,split-radix,1024,22,16,69927
1,19,split-radix,1024,23,16,72415.75
1,19,split-radix,1024,24,16,72049.5625
1,19,split-radix,1024,25,16,69738.0625
1,19,split-radix,1024,26,16,71839.25
1,19,split-radix,1024,27,16,72893.3125
1,19,split-radix,1024,28,16,69696.6875
1,19,split-radix,1024,29,16,69725.5
1,19,split-radix,1024,30,16,73786.5625
1,22,radix2-iterative,1024,0,130,16237.2076923
1,22,radix2-iterative,1024,1,130,15311.0615385
1,22,radix2-iterative,1024,2,130,18605.5769231
1,22,radix2-iterative,1024,3,130,16239.9769231
1,22,radix2-iterative,1024,4,130,15769.8923077
1,22,radix2-iterative,1024,5,130,15567.7538462
1,22,radix2-iterative,1024,6,130,15672.8307692
1,22,radix2-iterative,1024,7,130,15372.6923077
1,22,radix2-iterative,1024,8,130,15544.2538462
1,22,radix2-iterative,1024,9,130,15274.8538462
1,22,radix2-iterative,1024,10,130,15460.5923077
1,22,radix2-iterative,1024,11,130,15282.7846154
1,22,radix2-iterative,1024,12,130,15470.3769231
1,22,radix2-iterative,1024,13,130,15256.3692308
1,22,radix2-iterative,1024,14,130,15574.4461538
1,22,radix2-iterative,1024,15,130,15266.7692308
1,22,radix2-iterative,1024,16,130,15632.1538462
1,22,radix2-iterative,1024,17,130,15277.6230769
1,22,radix2-iterative,1024,18,130,15509.1307692
1,22,radix2-iterative,1024,19,130,15288.6384615
1,22,radix2-iterative,1024,20,130,15943.1538462
1,22,radix2-iterative,1024,21,130,15771.5846154
1,22,radix2-iterative,1024,22,130,15773.4384615
1,22,radix2-iterative,1024,23,130,16169.3384615
1,22,radix2-iterative,1024,24,130,16508.3
1,22,radix2-iterative,1024,25,130,20888.5846154
1,22,radix2-iterative,1024,26,130,21935.3692308
1,22,radix2-iterative,1024,27,130,15941.6076923
1,22,radix2-iterative,1024,28,130,15492.5615385
1,22,radix2-iterative,1024,29,130,15373.7
1,22,radix2-iterative,1024,30,130,16437.2692308
1,27,radix4,1024,0,16,77107.0625
1,27,radix4,1024,1,16,86046.625
1,27,radix4,1024,2,16,87696.5625
1,27,radix4,1024,3,16,76481.8125
1,27,radix4,1024,4,16,76608.8125
