session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
1,3,auto,127,0,155,13211.1806452
1,3,auto,127,1,155,12828.2258065
1,3,auto,127,2,155,13154
1,3,auto,127,3,155,12837.9225806
1,3,auto,127,4,155,13057.7225806
1,3,auto,127,5,155,12825.0645161
1,3,auto,127,6,155,14571.0064516
1,3,auto,127,7,155,12939.0322581
1,3,auto,127,8,155,14174.1612903
1,3,auto,127,9,155,13967.1483871
1,3,auto,127,10,155,14059.0193548
1,3,auto,127,11,155,13874.4258065
1,3,auto,127,12,155,23881.1677419
1,3,auto,127,13,155,12974.7677419
1,3,auto,127,14,155,13208.2709677
1,3,auto,127,15,155,12833.3935484
1,3,auto,127,16,155,13095.4645161
1,3,auto,127,17,155,12812.1354839
1,3,auto,127,18,155,13034.3354839
1,3,auto,127,19,155,12881.0193548
1,3,auto,127,20,155,13142.8193548
1,3,auto,127,21,155,12829.7741935
1,3,auto,127,22,155,14678.2
1,3,auto,127,23,155,12849.4193548
1,3,auto,127,24,155,15768.5290323
1,3,auto,127,25,155,12774.7290323
1,3,auto,127,26,155,13368.4451613
1,3,auto,127,27,155,14351.3935484
1,3,auto,127,28,155,13539.1548387
1,3,auto,127,29,155,14715.8709677
1,3,auto,127,30,155,15376.8516129
1,17,rader,127,0,154,13237.6623377
1,17,rader,127,1,154,13113.1233766
1,17,rader,127,2,154,13770.0714286
1,17,rader,127,3,154,13181.1493506
1,17,rader,127,4,154,13212.1038961
1,17,rader,127,5,154,12872.5064935
1,17,rader,127,6,154,13396.4025974
1,17,rader,127,7,154,13577.3831169
1,17,rader,127,8,154,13486.6038961
1,17,rader,127,9,154,12863.0714286
1,17,rader,127,10,154,13148.7662338
1,17,rader,127,11,154,13387.8181818
1,17,rader,127,12,154,13621.5714286
1,17,rader,127,13,154,12889.2857143
1,17,rader,127,14,154,13282.2077922
1,17,rader,127,15,154,12868.0194805
1,17,rader,127,16,154,13047.1168831
1,17,rader,127,17,154,13111.9545455
1,17,rader,127,18,154,15551.4220779
1,17,rader,127,19,154,13128.2077922
1,17,rader,127,20,154,12840.8376623
1,17,rader,127,21,154,13013.8181818
1,17,rader,127,22,154,12818.4675325
1,17,rader,127,23,154,13059.2142857
1,17,rader,127,24,154,13278.1103896
1,17,rader,127,25,154,13278.6948052
1,17,rader,127,26,154,12826.461039
1,17,rader,127,27,154,12999.6428571
1,17,rader,127,28,154,12819.5064935
1,17,rader,127,29,154,12970.7012987
1,17,rader,127,30,154,12811.8311688
1,25,dft,127,0,8,246977
1,25,dft,127,1,8,256834.25
1,25,dft,127,2,8,257749.25
1,25,dft,127,3,8,257770.625
1,25,dft,127,4,8,246839.25
1,25,dft,127,5,8,250190.625
1,25,dft,127,6,8,247208.625
1,25,dft,127,7,8,251799.125
1,25,dft,127,8,8,246715.375
1,25,dft,127,9,8,249722.375
1,25,dft,127,10,8,246726.625
1,25,dft,127,11,8,250259.375
1,25,dft,127,12,8,248140
1,25,dft,127,13,8,276871.5
1,25,dft,127,14,8,248843.5
1,25,dft,127,15,8,261691.5
1,25,dft,127,16,8,248695.75
1,25,dft,127,17,8,251561.375
1,25,dft,127,18,8,246949.5
1,25,dft,127,19,8,257333.625
1,25,dft,127,20,8,248032.25
1,25,dft,127,21,8,252708.125
1,25,dft,127,22,8,248309
1,25,dft,127,23,8,256520
1,25,dft,127,24,8,246714.125
1,25,dft,127,25,8,261956.75
1,25,dft,127,26,8,252571.625
1,25,dft,127,27,8,252077.125
1,25,dft,127,28,8,246814.375
1,25,dft,127,29,8,250647.375
1,25,dft,127,30,8,248536.75
1,29,mixed-radix,127,0,6,347000.666667
1,29,mixed-radix,127,1,6,359965
1,29,mixed-radix,127,2,6,335288.166667
1,29,mixed-radix,127,3,6,328574.833333
1,29,mixed-radix,127,4,6,334717.5
1,29,mixed-radix,127,5,6,326747.166667
1,29,mixed-radix,127,6,6,339297.666667
1,29,mixed-radix,127,7,6,327236.333333
1,29,mixed-radix,127,8,6,336021
1,29,mixed-radix,127,9,6,330464.333333
1,29,mixed-radix,127,10,6,332601
1,29,mixed-radix,127,11,6,333407.166667
1,29,mixed-radix,127,12,6,348883.5
1,29,mixed-radix,127,13,6,327001
1,29,mixed-radix,127,14,6,373224.5
1,29,mixed-radix,127,15,6,342837.666667
1,29,mixed-radix,127,16,6,338331
1,29,mixed-radix,127,17,6,387634.5
1,29,mixed-radix,127,18,6,373182.833333
1,29,mixed-radix,127,19,6,336256.333333
1,29,mixed-radix,127,20,6,337179.333333
1,29,mixed-radix,127,21,6,326700.5
1,29,mixed-radix,127,22,6,343467.166667
1,29,mixed-radix,127,23,6,328371.333333
1,29,mixed-radix,127,24,6,331741.333333
1,29,mixed-radix,127,25,6,336927.333333
1,29,mixed-radix,127,26,6,336124.5
1,29,mixed-radix,127,27,6,326902.5
1,29,mixed-radix,127,28,6,333759.333333
1,29,mixed-radix,127,29,6,326355
1,29,mixed-radix,127,30,6,335865.833333
1,39,bluestein,127,0,116,17788.5862069
1,39,bluestein,127,1,116,17206.612069
1,39,bluestein,127,2,116,17418.9827586
1,39,bluestein,127,3,116,20160.3017241
1,39,bluestein,127,4,116,17560.5775862
1,39,bluestein,127,5,116,17113.1034483
1,39,bluestein,127,6,116,17412.7758621
1,39,bluestein,127,7,116,17716.2413793
1,39,bluestein,127,8,116,17569.9051724
1,39,bluestein,127,9,116,17103.2586207
1,39,bluestein,127,10,116,17316.1637931
1,39,bluestein,127,11,116,17075.5431034
1,39,bluestein,127,12,116,17411.3965517
1,39,bluestein,127,13,116,17141.6810345
1,39,bluestein,127,14,116,17710.112069
1,39,bluestein,127,15,116,17142.0258621
1,39,bluestein,127,16,116,17663.9224138
1,39,bluestein,127,17,116,17126.3965517
1,39,bluestein,127,18,116,17376.5172414
1,39,bluestein,127,19,116,17185.9655172
1,39,bluestein,127,20,116,17333.9482759
1,39,bluestein,127,21,116,17116.9827586
1,39,bluestein,127,22,116,19490.6896552
1,39,bluestein,127,23,116,18007.4482759
1,39,bluestein,127,24,116,17126.9137931
1,39,bluestein,127,25,116,17612.1206897
1,39,bluestein,127,26,116,17235.0086207
1,39,bluestein,127,27,116,18082.0431034
1,39,bluestein,127,28,116,17111.637931
1,39,bluestein,127,29,116,17333.862069
1,39,bluestein,127,30,116,17104.9913793
