session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
1,0,auto,256,0,630,4388.49047619
1,0,auto,256,1,630,3241.56349206
1,0,auto,256,2,630,3751.81269841
1,0,auto,256,3,630,3253.8984127
1,0,auto,256,4,630,3242.75555556
1,0,auto,256,5,630,3599.52380952
1,0,auto,256,6,630,3228.43333333
1,0,auto,256,7,630,3173.6047619
1,0,auto,256,8,630,3239.76666667
1,0,auto,256,9,630,3176.81746032
1,0,auto,256,10,630,3222.85238095
1,0,auto,256,11,630,3172.66825397
1,0,auto,256,12,630,3216.23968254
1,0,auto,256,13,630,3169.5984127
1,0,auto,256,14,630,3234.72857143
1,0,auto,256,15,630,3175.22698413
1,0,auto,256,16,630,3218.65555556
1,0,auto,256,17,630,3170.28253968
1,0,auto,256,18,630,3208.86349206
1,0,auto,256,19,630,4406.86507937
1,0,auto,256,20,630,3356.05079365
1,0,auto,256,21,630,3170.82222222
1,0,auto,256,22,630,3239.4968254
1,0,auto,256,23,630,3285.42222222
1,0,auto,256,24,630,3231.77142857
1,0,auto,256,25,630,3161.65079365
1,0,auto,256,26,630,3232.13650794
1,0,auto,256,27,630,3164.16349206
1,0,auto,256,28,630,3256.26666667
1,0,auto,256,29,630,3167.5968254
1,0,auto,256,30,630,3269.90634921
1,5,dft,256,0,1,1170249
1,5,dft,256,1,1,1078112
1,5,dft,256,2,1,1149378
1,5,dft,256,3,1,1075638
1,5,dft,256,4,1,1119244
1,5,dft,256,5,1,1118492
1,5,dft,256,6,1,1073115
1,5,dft,256,7,1,1075278
1,5,dft,256,8,1,1292971
1,5,dft,256,9,1,1130971
1,5,dft,256,10,1,1085173
1,5,dft,256,11,1,1120405
1,5,dft,256,12,1,1077501
1,5,dft,256,13,1,1123790
1,5,dft,256,14,1,1071773
1,5,dft,256,15,1,1106264
1,5,dft,256,16,1,1074377
1,5,dft,256,17,1,1069739
1,5,dft,256,18,1,1094607
1,5,dft,256,19,1,1071202
1,5,dft,256,20,1,1069700
1,5,dft,256,21,1,1069539
1,5,dft,256,22,1,1096119
1,5,dft,256,23,1,1068238
1,5,dft,256,24,1,1068478
1,5,dft,256,25,1,1072403
1,5,dft,256,26,1,1106995
1,5,dft,256,27,1,1070621
1,5,dft,256,28,1,1069369
1,5,dft,256,29,1,1105102
1,5,dft,256,30,1,1083180
1,6,stockham-radix2,256,0,93,21080.4731183
1,6,stockham-radix2,256,1,93,20944.344086
1,6,stockham-radix2,256,2,93,21903.0967742
1,6,stockham-radix2,256,3,93,21502.483871
1,6,stockham-radix2,256,4,93,22435.6989247
1,6,stockham-radix2,256,5,93,22338.5806452
1,6,stockham-radix2,256,6,93,21389.0967742
1,6,stockham-radix2,256,7,93,20816.8494624
1,6,stockham-radix2,256,8,93,21428.6129032
1,6,stockham-radix2,256,9,93,22748.1075269
1,6,stockham-radix2,256,10,93,32829.4408602
1,6,stockham-radix2,256,11,93,20440.8064516
1,6,stockham-radix2,256,12,93,20873.172043
1,6,stockham-radix2,256,13,93,23576.7526882
1,6,stockham-radix2,256,14,93,21321.2473118
1,6,stockham-radix2,256,15,93,23504.6129032
1,6,stockham-radix2,256,16,93,21181.6344086
1,6,stockham-radix2,256,17,93,20994.1075269
1,6,stockham-radix2,256,18,93,21214
1,6,stockham-radix2,256,19,93,21003.0430108
1,6,stockham-radix2,256,20,93,21131.0752688
