session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
2,10,dft,127,0,8,311867.125
2,10,dft,127,1,8,258193.75
2,10,dft,127,2,8,248857.375
2,10,dft,127,3,8,277543.625
2,10,dft,127,4,8,253121.25
2,10,dft,127,5,8,309422.25
2,10,dft,127,6,8,265543.375
2,10,dft,127,7,8,250602.5
2,10,dft,127,8,8,274162.375
2,10,dft,127,9,8,253314
2,10,dft,127,10,8,253083.625
2,10,dft,127,11,8,251198.25
2,10,dft,127,12,8,246695.375
2,10,dft,127,13,8,255742.625
2,10,dft,127,14,8,247903.375
2,10,dft,127,15,8,251182
2,10,dft,127,16,8,246696.625
2,10,dft,127,17,8,250320.75
2,10,dft,127,18,8,257789.375
2,10,dft,127,19,8,251825.5
2,10,dft,127,20,8,253128.625
2,10,dft,127,21,8,284937.25
2,10,dft,127,22,8,246821.75
2,10,dft,127,23,8,250061.625
2,10,dft,127,24,8,247161.125
2,10,dft,127,25,8,255289.375
2,10,dft,127,26,8,262637.75
2,10,dft,127,27,8,259727.25
2,10,dft,127,28,8,247173.625
2,10,dft,127,29,8,268689.25
2,10,dft,127,30,8,246065.625
2,18,rader,127,0,155,14087.1935484
2,18,rader,127,1,155,12849.2258065
2,18,rader,127,2,155,13014.5032258
2,18,rader,127,3,155,12848.3870968
2,18,rader,127,4,155,13029.8129032
2,18,rader,127,5,155,12844.4451613
2,18,rader,127,6,155,13461.0322581
2,18,rader,127,7,155,12853.8129032
2,18,rader,127,8,155,13216.0258065
2,18,rader,127,9,155,12827.7096774
2,18,rader,127,10,155,13552.2064516
2,18,rader,127,11,155,12835.2
2,18,rader,127,12,155,13106.5741935
2,18,rader,127,13,155,12841.7290323
2,18,rader,127,14,155,13185.7225806
2,18,rader,127,15,155,12853.5548387
2,18,rader,127,16,155,13390.6709677
2,18,rader,127,17,155,12837.4645161
2,18,rader,127,18,155,13239.5483871
2,18,rader,127,19,155,12852.5870968
2,18,rader,127,20,155,13327.9354839
2,18,rader,127,21,155,15370.0645161
2,18,rader,127,22,155,13760.9677419
2,18,rader,127,23,155,22500.0774194
2,18,rader,127,24,155,12869.7096774
2,18,rader,127,25,155,13419.1032258
2,18,rader,127,26,155,12830.5483871
2,18,rader,127,27,155,13370.9032258
2,18,rader,127,28,155,12883.3419355
2,18,rader,127,29,155,13328.1290323
2,18,rader,127,30,155,13402.0451613
2,24,auto,127,0,155,14459.4193548
2,24,auto,127,1,155,13288.0064516
2,24,auto,127,2,155,35058.8774194
2,24,auto,127,3,155,13116.1354839
2,24,auto,127,4,155,12837.2064516
2,24,auto,127,5,155,13594.4645161
2,24,auto,127,6,155,13133.2580645
2,24,auto,127,7,155,13113.6774194
2,24,auto,127,8,155,12868.8
2,24,auto,127,9,155,13058.116129
2,24,auto,127,10,155,13214.9935484
2,24,auto,127,11,155,13123.9548387
2,24,auto,127,12,155,13454.9612903
2,24,auto,127,13,155,13697.7741935
2,24,auto,127,14,155,12968.5677419
2,24,auto,127,15,155,12891.1548387
2,24,auto,127,16,155,12857.7548387
2,24,auto,127,17,155,13568.6774194
2,24,auto,127,18,155,13083.0580645
2,24,auto,127,19,155,12835.1419355
2,24,auto,127,20,155,12976.8322581
2,24,auto,127,21,155,12791.0709677
2,24,auto,127,22,155,12965.916129
2,24,auto,127,23,155,12785.7741935
2,24,auto,127,24,155,12957.8387097
2,24,auto,127,25,155,12754.9548387
2,24,auto,127,26,155,12944.916129
2,24,auto,127,27,155,12861.4322581
2,24,auto,127,28,155,12844.4451613
2,24,auto,127,29,155,12989.0451613
2,24,auto,127,30,155,13330.8451613
2,40,mixed-radix,127,0,6,349423.333333
2,40,mixed-radix,127,1,6,333463.833333
2,40,mixed-radix,127,2,6,340965.166667
2,40,mixed-radix,127,3,6,326373.333333
2,40,mixed-radix,127,4,6,335445.166667
2,40,mixed-radix,127,5,6,331390.833333
2,40,mixed-radix,127,6,6,358995.166667
2,40,mixed-radix,127,7,6,328379.666667
2,40,mixed-radix,127,8,6,348408.666667
