algorithm,N,signal,forward_l1,forward_l2,forward_linf,backward_l1,backward_l2,backward_linf,roundtrip_max_abs
auto,127,random,4.18790906008e-15,4.31002571698e-15,6.17596433577e-15,4.02926036502e-15,4.31066256064e-15,6.40780117647e-15,7.4061113154e-15
mixed-radix,127,random,1.78034426813e-14,1.99117776124e-14,2.5925942293e-14,1.87208291026e-14,1.99102928522e-14,2.91696357866e-14,2.80415529622e-14
bluestein,127,random,4.26077079483e-15,4.28883811984e-15,4.439024919e-15,4.15724974735e-15,4.29113932154e-15,5.91400704606e-15,6.54772794991e-15
rader,127,random,4.18790906008e-15,4.31002571698e-15,6.17596433577e-15,4.02926036502e-15,4.31066256064e-15,6.40780117647e-15,7.4061113154e-15
dft,127,random,1.78034426813e-14,1.99117776124e-14,2.5925942293e-14,1.87208291026e-14,1.99102928522e-14,2.91696357866e-14,2.79916734583e-14
auto,127,tones,1.11232813572e-14,4.6466010535e-15,4.67911850273e-15,4.60484874584e-15,4.64714945867e-15,5.42886830432e-15,1.20088981275e-14
mixed-radix,127,tones,7.17232065482e-14,2.62408826145e-14,2.66165284253e-14,2.51979445429e-14,2.62429977955e-14,3.97678014443e-14,5.9013471216e-14
bluestein,127,tones,1.07855622089e-14,4.88965115991e-15,5.37347020682e-15,4.61433828447e-15,4.8896376841e-15,7.03368716803e-15,1.36663730616e-14
rader,127,tones,1.11232813572e-14,4.6466010535e-15,4.67911850273e-15,4.60484874584e-15,4.64714945867e-15,5.42886830432e-15,1.20088981275e-14
dft,127,tones,7.17232065482e-14,2.62408826145e-14,2.66165284253e-14,2.51979445429e-14,2.62429977955e-14,3.97678014443e-14,5.9013471216e-14
auto,127,impulse,2.60129018785e-15,2.93333790113e-15,6.42939335417e-15,1.83679717489e-14,2.93343256629e-15,2.41753847159e-15,6.5756701839e-15
mixed-radix,127,impulse,7.48972286268e-15,1.0212419333e-14,3.65718739786e-14,9.32717669882e-14,1.02121781181e-14,2.50786009796e-15,7.54320292833e-15
bluestein,127,impulse,2.61278253736e-15,2.95116815361e-15,6.82889417988e-15,1.50989700053e-14,2.95083084708e-15,2.38927032014e-15,5.64032633749e-15
rader,127,impulse,2.60129018785e-15,2.93333790113e-15,6.42939335417e-15,1.83679717489e-14,2.93343256629e-15,2.41753847159e-15,6.5756701839e-15
dft,127,impulse,7.48972286268e-15,1.0212419333e-14,3.65718739786e-14,9.32717669882e-14,1.02121781181e-14,2.50786009796e-15,7.54320292833e-15
auto,127,alternating,7.69034436204e-15,4.77672534026e-15,4.68579639554e-15,4.50489561865e-15,4.77602824e-15,9.24394858828e-15,1.24716853577e-14
mixed-radix,127,alternating,3.7550693154e-14,1.89390353853e-14,9.12569379806e-15,1.68165063101e-14,1.89376887481e-14,4.53362916683e-14,7.15397445581e-14
bluestein,127,alternating,5.56923926121e-15,4.28966718777e-15,4.03563861673e-15,3.78040300158e-15,4.2889425699e-15,8.29248540971e-15,1.45720726519e-14
rader,127,alternating,7.69034436204e-15,4.77672534026e-15,4.68579639554e-15,4.50489561865e-15,4.77602824e-15,9.24394858828e-15,1.24716853577e-14
dft,127,alternating,3.7550693154e-14,1.89390353853e-14,9.12569379806e-15,1.68165063101e-14,1.89376887481e-14,4.53362916683e-14,7.15397445581e-14
auto,127,dynamic-range,3.94348901125e-15,3.84708941025e-15,4.25771463726e-15,1.01705257507e-14,3.84728248185e-15,3.6773601397e-15,0.00327150714923
mixed-radix,127,dynamic-range,2.33151324958e-14,2.57428115205e-14,3.23019683016e-14,9.63555876891e-14,2.57413515764e-14,1.29177337024e-14,0.0110578539866
bluestein,127,dynamic-range,4.24338809302e-15,4.07302120765e-15,4.28052471919e-15,1.11488740161e-14,4.07200251302e-15,3.87483385696e-15,0.00325910017696
rader,127,dynamic-range,3.94348901125e-15,3.84708941025e-15,4.25771463726e-15,1.01705257507e-14,3.84728248185e-15,3.6773601397e-15,0.00327150714923
dft,127,dynamic-range,2.33151324958e-14,2.57428115205e-14,3.23019683016e-14,9.63555876891e-14,2.57413515764e-14,1.29177337024e-14,0.0110578539866
