session,order,algorithm,N,sample,iterations_per_sample,ns_per_transform
0,11,rader,1009,0,15,128261.266667
0,11,rader,1009,1,15,149207.733333
0,11,rader,1009,2,15,128179.133333
0,11,rader,1009,3,15,130623.466667
0,11,rader,1009,4,15,128537.666667
0,11,rader,1009,5,15,131548.2
0,11,rader,1009,6,15,129104.533333
0,11,rader,1009,7,15,130557.333333
0,11,rader,1009,8,15,128100.4
0,11,rader,1009,9,15,130399.066667
0,11,rader,1009,10,15,128007.6
0,11,rader,1009,11,15,129586.6
0,11,rader,1009,12,15,128718.6
0,11,rader,1009,13,15,129746.8
0,11,rader,1009,14,15,128090.4
0,11,rader,1009,15,15,130690.866667
0,11,rader,1009,16,15,127690.4
0,11,rader,1009,17,15,129643.333333
0,11,rader,1009,18,15,127737.2
0,11,rader,1009,19,15,129482.4
0,11,rader,1009,20,15,127939.466667
0,11,rader,1009,21,15,129326.2
0,11,rader,1009,22,15,128086.333333
0,11,rader,1009,23,15,129619.333333
0,11,rader,1009,24,15,127733.8
0,11,rader,1009,25,15,130005.2
0,11,rader,1009,26,15,127794.6
0,11,rader,1009,27,15,127699.8
0,11,rader,1009,28,15,129740.8
0,11,rader,1009,29,15,127681.733333
0,11,rader,1009,30,15,130349.733333
0,27,auto,1009,0,15,130969.933333
0,27,auto,1009,1,15,128677.266667
0,27,auto,1009,2,15,130816.4
0,27,auto,1009,3,15,127823.933333
0,27,auto,1009,4,15,144469.733333
0,27,auto,1009,5,15,143656.2
0,27,auto,1009,6,15,137976.333333
0,27,auto,1009,7,15,127886.733333
0,27,auto,1009,8,15,143377.066667
0,27,auto,1009,9,15,134393.733333
0,27,auto,1009,10,15,153058.133333
0,27,auto,1009,11,15,129237.4
0,27,auto,1009,12,15,133455
0,27,auto,1009,13,15,134259.533333
0,27,auto,1009,14,15,136022.8
0,27,auto,1009,15,15,127852
0,27,auto,1009,16,15,137814.8
0,27,auto,1009,17,15,135003.266667
0,27,auto,1009,18,15,134271.533333
0,27,auto,1009,19,15,128184.466667
0,27,auto,1009,20,15,132385.4
0,27,auto,1009,21,15,128083
0,27,auto,1009,22,15,131118.2
0,27,auto,1009,23,15,131942.066667
0,27,auto,1009,24,15,132539.666667
0,27,auto,1009,25,15,127852.666667
0,27,auto,1009,26,15,129413.666667
0,27,auto,1009,27,15,127874.666667
0,27,auto,1009,28,15,130395.8
0,27,auto,1009,29,15,134490.533333
0,27,auto,1009,30,15,131071.466667
0,29,dft,1009,0,1,16773327
0,29,dft,1009,1,1,16471738
0,29,dft,1009,2,1,16555693
0,29,dft,1009,3,1,16775680
0,29,dft,1009,4,1,16439290
0,29,dft,1009,5,1,16399601
0,29,dft,1009,6,1,16569614
0,29,dft,1009,7,1,16384859
0,29,dft,1009,8,1,16376067
0,29,dft,1009,9,1,16601210
0,29,dft,1009,10,1,16745765
0,29,dft,1009,11,1,16588672
